key,sector_hours,year,hours_idx_annual_raw
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2018,86.2
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2019,89.025
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2020,87.7
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2021,99.45
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2022,101.05
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2023,102.525
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2024,104.9
"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2025,107.10000000000001
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2015,101.35
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2016,100.975
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2017,102.4
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2018,103.475
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2019,103.025
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2020,101.325
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2021,100.225
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2022,101.9
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2023,109.55
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2024,108.8
"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata",2025,109.3
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2015,94.7
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2016,97.475
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2017,100.7
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2018,103.175
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2019,104.3
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2020,90.475
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2021,99.725
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2022,108.0
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2023,112.7
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2024,116.025
"industria e servizi (b-s, escluso o)","Industria e servizi (b-s, escluso o)",2025,118.3
istruzione,Istruzione,2015,84.375
istruzione,Istruzione,2016,89.85
istruzione,Istruzione,2017,93.1
istruzione,Istruzione,2018,98.85
istruzione,Istruzione,2019,102.875
istruzione,Istruzione,2020,80.525
istruzione,Istruzione,2021,100.075
istruzione,Istruzione,2022,113.75
istruzione,Istruzione,2023,123.05
istruzione,Istruzione,2024,130.425
istruzione,Istruzione,2025,135.63333333333333
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2015,93.8
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2016,97.8
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2017,100.65
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2018,106.0
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2019,108.175
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2020,93.025
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2021,100.025
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2022,108.69999999999999
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2023,114.775
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2024,118.0
"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)","Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2025,123.23333333333333
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2015,93.075
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2016,98.1
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2017,101.875
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2018,107.475
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2019,107.1
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2020,91.975
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2021,100.0
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2022,109.475
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2023,114.55
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2024,120.35
"noleggio, agenzie di viaggio, servizi di supporto alle imprese","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",2025,122.10000000000001
sanità e assistenza sociale,Sanità e assistenza sociale,2015,85.875
sanità e assistenza sociale,Sanità e assistenza sociale,2016,90.7
sanità e assistenza sociale,Sanità e assistenza sociale,2017,92.775
sanità e assistenza sociale,Sanità e assistenza sociale,2018,96.5
sanità e assistenza sociale,Sanità e assistenza sociale,2019,98.65
sanità e assistenza sociale,Sanità e assistenza sociale,2020,93.375
sanità e assistenza sociale,Sanità e assistenza sociale,2021,100.025
sanità e assistenza sociale,Sanità e assistenza sociale,2022,101.9
sanità e assistenza sociale,Sanità e assistenza sociale,2023,107.8
sanità e assistenza sociale,Sanità e assistenza sociale,2024,110.75
sanità e assistenza sociale,Sanità e assistenza sociale,2025,115.03333333333335
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2015,96.65
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2016,100.45
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2017,104.4
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2018,107.75
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2019,109.175
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2020,92.4
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2021,99.8
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2022,110.175
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2023,116.19999999999999
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2024,121.075
"servizi (g-s, escluso o)","Servizi (g-s, escluso o)",2025,124.16666666666667
servizi alle imprese (l-n),Servizi alle imprese (l-n),2015,91.525
servizi alle imprese (l-n),Servizi alle imprese (l-n),2016,97.725
servizi alle imprese (l-n),Servizi alle imprese (l-n),2017,99.975
servizi alle imprese (l-n),Servizi alle imprese (l-n),2018,105.67500000000001
servizi alle imprese (l-n),Servizi alle imprese (l-n),2019,106.9
servizi alle imprese (l-n),Servizi alle imprese (l-n),2020,95.525
servizi alle imprese (l-n),Servizi alle imprese (l-n),2021,100.125
servizi alle imprese (l-n),Servizi alle imprese (l-n),2022,109.05
servizi alle imprese (l-n),Servizi alle imprese (l-n),2023,115.55
servizi alle imprese (l-n),Servizi alle imprese (l-n),2024,124.1
servizi alle imprese (l-n),Servizi alle imprese (l-n),2025,127.26666666666667
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2015,86.0
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2016,87.85
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2017,91.775
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2018,92.475
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2019,94.325
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2020,92.55
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2021,100.025
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2022,103.9
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2023,108.8
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2024,110.775
servizi di informazione e comunicazione,Servizi di informazione e comunicazione,2025,112.83333333333333
totale industria (b-f),TOTALE INDUSTRIA (b-f),2015,91.975
totale industria (b-f),TOTALE INDUSTRIA (b-f),2016,93.15
totale industria (b-f),TOTALE INDUSTRIA (b-f),2017,95.42500000000001
totale industria (b-f),TOTALE INDUSTRIA (b-f),2018,96.775
totale industria (b-f),TOTALE INDUSTRIA (b-f),2019,97.375
totale industria (b-f),TOTALE INDUSTRIA (b-f),2020,87.8
totale industria (b-f),TOTALE INDUSTRIA (b-f),2021,99.575
totale industria (b-f),TOTALE INDUSTRIA (b-f),2022,104.925
totale industria (b-f),TOTALE INDUSTRIA (b-f),2023,107.75
totale industria (b-f),TOTALE INDUSTRIA (b-f),2024,108.9
totale industria (b-f),TOTALE INDUSTRIA (b-f),2025,109.93333333333334
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2015,94.775
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2016,97.425
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2017,100.7
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2018,103.0
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2019,103.975
totale industria e servizi (b-n),TOTALE INDUSTRIA E SERVIZI (b-n),2020,90.3
