sector_va,year,va,key
"Fabbricazione di mobili, altre industrie manifatturiere",2016,14694.9,"fabbricazione di mobili, altre industrie manifatturiere"
Riparazione e installazione di macchine e apparecchiature,2016,9227.5,riparazione e installazione di macchine e apparecchiature
"Fornitura di energia elettrica, gas, vapore e aria condizionata",2016,20346.8,"fornitura di energia elettrica, gas, vapore e aria condizionata"
"Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento",2016,17178.8,"fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento"
"Raccolta, trattamento e fornitura di acqua",2016,6399.5,"raccolta, trattamento e fornitura di acqua"
"Gestione delle reti fognarie, attività di raccolta, trattamento e smaltimento dei rifiuti, recupero dei materiali, attività di risanamento e altri servizi di gestione dei rifiuti",2016,10885.9,"gestione delle reti fognarie, attività di raccolta, trattamento e smaltimento dei rifiuti, recupero dei materiali, attività di risanamento e altri servizi di gestione dei rifiuti"
Costruzioni,2016,66849.6,costruzioni
Servizi,2016,1166701.3,servizi
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione",2016,318280.0,"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione"
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2016,178835.4,"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli"
Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,2016,16791.2,commercio allingrosso e al dettaglio e riparazione di autoveicoli e motocicli
"Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli",2016,82881.4,"commercio allingrosso, escluso quello di autoveicoli e di motocicli"
"Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",2016,79228.8,"commercio al dettaglio, escluso quello di autoveicoli e di motocicli"
Trasporti e magazzinaggio,2016,77538.3,trasporti e magazzinaggio
Trasporto terrestre e trasporto mediante condotte,2016,39139.4,trasporto terrestre e trasporto mediante condotte
Trasporti marittimi e per vie d'acqua,2016,2542.8,trasporti marittimi e per vie dacqua
Trasporto aereo,2016,2210.7,trasporto aereo
Magazzinaggio e attività di supporto ai trasporti,2016,30549.5,magazzinaggio e attività di supporto ai trasporti
Servizi postali e attività di corriere,2016,3159.7,servizi postali e attività di corriere
Servizi di alloggio e di ristorazione,2016,63351.0,servizi di alloggio e di ristorazione
Servizi di informazione e comunicazione,2016,55529.8,servizi di informazione e comunicazione
"Attività editoriali, audiovisivi, attività di trasmissione",2016,10408.2,"attività editoriali, audiovisivi, attività di trasmissione"
Attività editoriali,2016,3832.5,attività editoriali
"Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, attività di programmazione e trasmissione",2016,6615.7,"attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, attività di programmazione e trasmissione"
Telecomunicazioni,2016,14863.6,telecomunicazioni
"Programmazione, consulenza informatica e attività connesse, attività dei servizi d'informazione",2016,30884.2,"programmazione, consulenza informatica e attività connesse, attività dei servizi dinformazione"
Attività finanziarie e assicurative,2016,81484.0,attività finanziarie e assicurative
Prestazione di servizi finanziari (ad esclusione di assicurazioni e fondi pensione),2016,50299.4,prestazione di servizi finanziari (ad esclusione di assicurazioni e fondi pensione)
"Assicurazioni, riassicurazioni e fondi pensione, escluse le assicurazioni sociali obbligatorie",2016,14687.8,"assicurazioni, riassicurazioni e fondi pensione, escluse le assicurazioni sociali obbligatorie"
Attività ausiliarie dei servizi finanziari e delle attività assicurative,2016,16293.3,attività ausiliarie dei servizi finanziari e delle attività assicurative
Attività immobiliari,2016,215139.1,attività immobiliari
"Attività immobiliari, di cui: affitti imputati per gli alloggi occupati dai rispettivi proprietari",2016,147251.8,"attività immobiliari, di cui affitti imputati per gli alloggi occupati dai rispettivi proprietari"
"Attività professionali, scientifiche e tecniche, amministrazione e servizi di supporto",2016,151158.0,"attività professionali, scientifiche e tecniche, amministrazione e servizi di supporto"
"Attività professionali, scientifiche e tecniche",2016,99576.7,"attività professionali, scientifiche e tecniche"
"Attività legali e contabilità, attività di sedi centrali, consulenza gestionale, attività degli studi di architettura e d'ingegneria, collaudi e analisi tecniche",2016,69246.2,"attività legali e contabilità, attività di sedi centrali, consulenza gestionale, attività degli studi di architettura e dingegneria, collaudi e analisi tecniche"
"Attività legali e contabilità, attività di sedi centrali, consulenza gestionale",2016,51123.5,"attività legali e contabilità, attività di sedi centrali, consulenza gestionale"
"Attività degli studi di architettura e d'ingegneria, collaudi e analisi tecniche",2016,18118.2,"attività degli studi di architettura e dingegneria, collaudi e analisi tecniche"
Ricerca scientifica e sviluppo,2016,14595.6,ricerca scientifica e sviluppo
"Pubblicità e ricerche di mercato, altre attività professionali, scientifiche e tecniche, servizi veterinari",2016,15911.3,"pubblicità e ricerche di mercato, altre attività professionali, scientifiche e tecniche, servizi veterinari"
Pubblicità e ricerche di mercato,2016,2729.1,pubblicità e ricerche di mercato
"Altre attività professionali, scientifiche e tecniche, servizi veterinari",2016,13556.5,"altre attività professionali, scientifiche e tecniche, servizi veterinari"
Attività amministrative e di servizi di supporto,2016,51592.2,attività amministrative e di servizi di supporto
Attività di noleggio e leasing,2016,7480.2,attività di noleggio e leasing
"Attività di ricerca, selezione, fornitura di personale",2016,9052.9,"attività di ricerca, selezione, fornitura di personale"
"Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività correlate",2016,5493.9,"attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività correlate"
"Servizi di investigazione e vigilanza, attività di servizi per edifici e per paesaggio, attività amministrative e di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese",2016,31373.7,"servizi di investigazione e vigilanza, attività di servizi per edifici e per paesaggio, attività amministrative e di supporto per le funzioni dufficio e altri servizi di supporto alle imprese"
"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale",2016,281582.6,"amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale"
"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",2016,109904.8,"amministrazione pubblica e difesa, assicurazione sociale obbligatoria"
Istruzione,2016,70475.7,istruzione
Sanità e assistenza sociale,2016,101301.5,sanità e assistenza sociale
Attività dei servizi sanitari,2016,87601.2,attività dei servizi sanitari
Assistenza sociale,2016,13877.3,assistenza sociale
"Attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi",2016,63989.5,"attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi"
"Attività artistiche, di intrattenimento e divertimento",2016,18801.2,"attività artistiche, di intrattenimento e divertimento"
"Attività creative, artistiche e d'intrattenimento, attività di biblioteche, archivi, musei e altre attività culturali, attività riguardanti scommesse e case da gioco",2016,10560.5,"attività creative, artistiche e dintrattenimento, attività di biblioteche, archivi, musei e altre attività culturali, attività riguardanti scommesse e case da gioco"
"Attività sportive, di intrattenimento e di divertimento",2016,8253.9,"attività sportive, di intrattenimento e di divertimento"
Altre attività di servizi,2016,27500.4,altre attività di servizi
Attività di organizzazioni associative,2016,4994.5,attività di organizzazioni associative
Riparazione di computer e di beni per uso personale e per la casa,2016,1764.8,riparazione di computer e di beni per uso personale e per la casa
Altre attività di servizi personali,2016,20749.3,altre attività di servizi personali
"Attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",2016,17691.4,"attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze"
Branca di attività economica (ATECO 2007),2017,,branca di attività economica (ateco 2007)
Totale attività economiche,2017,1604434.9,totale attività economiche
Attività economiche non market,2017,246978.4,attività economiche non market
"Agricoltura, silvicoltura e pesca",2017,33313.5,"agricoltura, silvicoltura e pesca"
"Produzioni vegetali e animali, caccia e servizi connessi",2017,30101.7,"produzioni vegetali e animali, caccia e servizi connessi"
Silvicoltura e utilizzo di aree forestali,2017,2212.8,silvicoltura e utilizzo di aree forestali
Pesca e acquicoltura,2017,1016.2,pesca e acquicoltura
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni",2017,385606.7,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni"
